objectid,gmrap_id,coded_id,tract_name,name,name_other,name_group,includes,sitestatus,country,state_prov,latitude,longitude,dep_type,dep_subtype,age_ma,age_method,age_range,age_ref,comm_major,comm_minor,comm_trace,tonnage_mt,cu_pct,mo_pct,au_g_t,ag_g_t,con_cu_t,au_mo,comments,minerals,assd_rock,dev_status,ref_list,setting,study_area,short_ref,strat_age
1150,369,150pCu6001,"Transylvania-Balkan Mountains",Sopot,,,,prospect,Romania,Caras-Severin,44.765009,21.962209,"Porphyry copper",NA,65,unknown,"65 Ma (Laramian)","Singer and others (2008)",Cu,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Porphyry copper prospect with gold.","chalcopyrite, hematite, kaolinite, magnetite, molybdenite, pyrite, sericite","quartz diorite porphyry, skarn, carbonate, clastic sedimentary rocks, monzodiorite, schist",Prospect,"Cioflica and Vlad (1980); Ciobanu and others (2002); Ianovici and others (1977); Singer and others (2008)","continental margin",Europe,"Sutphin and others (2013)","Late Cretaceous–Paleocene"
1151,380,150pCu6002,"Dinaride-Aegean Region",Spahievo,,,,prospect,Bulgaria,Kardzhali,41.739,25.314,"Porphyry copper",NA,32.82,unknown,"32.82 ±0.40 Ma","Singer and others (2008)",Cu,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Anomalous contents: 800 ppm Cu, 370 ppm Mo. 60% covered by Neogene-Quaternary sediments.","albite, alunite, biotite, bornite, chalcopyrite, diaspore, galena, kaolinite/illite, molybdenite, pyrite, pyrophyllite, sericite, sphalerite, turquoise","monzonite porphyry, felsic dike, rhyodacite, shoshonite dike, gabbro-diorite, latite porphyry, quartz trachyte, rhyolite pyroclastics, shoshonite lava",Prospect,"Georgiev and others (1996); Marchev and Singer (1999); Singer and Marchev (2000); Yosifov and others (1990); Singer and others (2008)",postconvergence,Europe,"Sutphin and others (2013)",Oligocene
1152,3162,150pCu6002,"Dinaride-Aegean Region",Strimonikon,Mangina,,,prospect,Greece,"Kentriki Makedonia",41.041667,23.325,"Porphyry copper",NA,-9999,"not dated",,,Cu,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"A 400 by 200 m body having strong alteration and no alteration halo, 13 hard-rock samples yielded a maximum of 180 ppm Cu; 26 soil samples had a maximum of 55 ppm Cu.",,,Prospect,"Kockel and others (1975)",postconvergence,Europe,"Sutphin and others (2013)",
1153,3175,150pCu6002,"Dinaride-Aegean Region",Stypsi,,,,prospect,Greece,"Voreio Aigaio",39.318,26.256,"Porphyry copper",NA,-9999,"not dated",,,Cu,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"A Mo-enriched porphyry system, with a quartz stockwork that contains molybdenite, bismuthinite, galena, and sphalerite.","bismuthinite, galena, molybdenite, sphalerite",,Prospect,"Voudouris and Alfieris (2005)",postconvergence,Europe,"Sutphin and others (2013)",
1154,3163,150pCu6004,"Northern Carpathians",Sumulea,,,,prospect,Romania,Harghita,46.610833,25.393889,"Porphyry copper",NA,8,unknown,"late Miocene","geologic inference",Cu,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Hydrothermally-altered stratovolcano in the Cálimani-Gurghiu-Hargahita volcanic chain.",,,Prospect,"Mason and others (1995); Minera Andes Inc. (1999); Mason and others (1996)",postconvergence,Europe,"Sutphin and others (2013)","late Miocene"
1155,355,150pCu6003,"Apuseni Mountains",Talagiu,,,,deposit,Romania,Arad,46.266667,22.15,"Porphyry copper",Cu-Au,-9999,"Geologic inference","late Miocene","Singer and others (2008)","Cu, Au",,,150,0.35,-9999,0.6,-9999,520000,-9999,"Blind porphyry mineralization at 400 m depth.","adularia, albite, alunite, anhydrite/gypsum, biotite, carbonate, chalcopyrite, chlorite, epidote, kaolinite/illite, magnetite, montmorillonite, pyrite, pyrophyllite, sericite","andesite porphyry, diorite, diorite porphyry, hornfels, andesite, pyroclastics",Prospect,"Berbeleac and others (1992); Berbeleac, Iliescu and others (1995); Berbeleac, Popa and others (1995); Ianovici and others (1984); Vlad (2007); Singer and others (2008)",postconvergence,Europe,"Sutphin and others (2013)","late Miocene"
1156,3199,150pCu6001,"Transylvania-Balkan Mountains","Tilva Skorus",,,,prospect,Serbia,Bor,44.031199,21.999895,"Porphyry copper",NA,-9999,"not dated",,,Cu,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Prospect in the Malko-Turnovo district, Bulgaria.",,,Prospect,"Mazzoni and others (2010)","continental margin",Europe,"Sutphin and others (2013)",
1157,363,150pCu6001,"Transylvania-Balkan Mountains",Tincova,,,,prospect,Romania,Caras-Severin,45.566667,22.233333,"Porphyry copper",NA,65,unknown,"65 Ma (Laramian)","Singer and others (2008)",Cu,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Host rock is quartz-diorite porphyry that penetrates crystalline schists. The setting was subvolcanic. Fe, Pb, Zn, Cu, (Mo) are the reported metals.","chalcopyrite, pyrite","quartz diorite porphyry, schist",Prospect,"Cioflica and Vlad (1980); Ianovici and others (1977); Karamata and others (1997); Singer and others (2008)","continental margin",Europe,"Sutphin and others (2013)","Late Cretaceous–Paleocene"
1158,378,150pCu6001,"Transylvania-Balkan Mountains","Tsar Assen","Tsar Asen",,,deposit,Bulgaria,Pazardzhik,42.355278,24.339167,"Porphyry copper",NA,-9999,"Geologic inference","Late Cretaceous","Singer and others (2008)",Cu,,,6.6,0.47,-9999,-9999,-9999,31000,-9999,"Mined out 1980-1995. In concentrate:95 ppb Au, 51 ppb Pt, 8 ppb Pd. Exposed.","adularia, albite, alunite, anhydrite/gypsum, azurite/malachite, biotite, bornite, carbonate, chalcocite, chalcopyrite, chlorite, cobaltite, electrum, enargite, epidote, galena, gold, hematite, kaolinite, linneite, magnetite, millerite, molybdenite, pyrite, sericite, sphalerite, tennantite, zeolite","dacite porphyry, granodiorite porphyry, dacite, granite, granodiorite, quartz monzodiorite, tuff, andesite, hornfels, pyroclastics","Past Producer","Bogdanov (1983); Bogdanov (1986); Ciobanu and others (2002); Eliopoulos and others (1995); Ignatovski (1996); Strashimirov and others (2002); Strashimirov and Popov (2000); Tarkian and Stribrny (1999); von Quadt, Moritz and others (2005); von Quadt, Peytcheva and others (2005); Singer and others (2008)","continental margin",Europe,"Sutphin and others (2013)","Late Cretaceous"
1159,3166,150pCu6002,"Dinaride-Aegean Region",Tulare,Kiseljak,,,deposit,Serbia,Jablanica,42.795,21.443,"Porphyry copper",Cu-Au,23,unknown,Miocene,"Serbia Ministry of Mining and Energy (2010)","Cu, Au",,,300.5,0.27,-9999,0.26,-9999,810000,-9999,"Kiseljak prospect in Tulare porphyry cluster, within Lece volcanic complex. Active exploration project (Dunav Resources Ltd., 2014). Hosted in andesitic volcanics and at least two phases of diorite porphyry. Exposed over 800 by 300 m area; locally to 450 m depth. Stockwork quartz-pyrite-chalcopyrite veins, small veinlets and disseminations. Historical Soviet-C2 resource (non-compliant with current standards) reported as 155 Mt at 0.27 percent copper, 0.35 g/t gold, 1 g/t Ag, and 23 ppm Mo. Mineralization associated with potassic alteration; phyllic alteration along a N-S zone S of the porphyry. Surface exposure over a 300 by 800 m area; vertical extent at least 450 m. Proof of concept drilling, soil sampling, ground mag. Argillic alteration and silicification.","antimonite, bornite, chalcopyrite, electrum, enargite, galena, gold, pyrite, pyrrhotite, sphalerite, tetrahedrite",,Prospect,"Dunav Resources Ltd. (2011); Dunav Resources Ltd. (2012); Dunav Resources Ltd. (2014); Arnold and Malhotra (2012); Mazzoni and Smith (2010); Monthel and others (2002); Queensland Minerals Ltd. (2011); Serbia Ministry of Mining and Energy (2010)",postconvergence,Europe,"Sutphin and others (2013)",Miocene
1160,3168,150pCu6003,"Apuseni Mountains","Valea Tisei",,,,prospect,Romania,Hunedoara,46.148885,22.995021,"Porphyry copper",NA,15,unknown,mid-Miocene,"geologic inference",Cu,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Beginning in 2001, Valea Tisei was drilled for Au, Ag, Cu, Pb, and Zn by European Goldfield Ltd. Along with the porphyry copper-gold mineralization, they noted a potential for near-surface epithermal deposits. The deposit is a disseminated gold-copper porphyry system with higher grade gold mineralization in veins associated with enhanced base metal grades.",,,Prospect,"Milu and others (2004); Vlad and Orlandea (2004); European Goldfields Ltd. (2004)",postconvergence,Europe,"Sutphin and others (2013)",mid-Miocene
1161,3171,150pCu6001,"Transylvania-Balkan Mountains",Velikovets,,,,prospect,Bulgaria,Burgas,42.145,27.743,"Porphyry copper",NA,-9999,"not dated",,,Cu,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Prospect in the Malko-Turnovo district, Bulgaria.",,,Prospect,"Bogdanov (1983)","continental margin",Europe,"Sutphin and others (2013)",
1162,3131,150pCu6007,"Western European Caledonian",Ballachulish,,,,prospect,"United Kingdom of Great Britain and Northern Ireland",Scotland,56.6652,-5.1785,"Porphyry copper",NA,-9999,"Geologic inference","~490–390 Ma (Caledonian orogeny)","geologic inference","Cu, Mo, Au, Ag",W,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Sporadic mineralization over an 1800 by 800 m area in adamellite and microadamellite of the Balluchulish igneous complex. Explored by the British Geological Survey in the 1970s by IP, core, and outcrop sampling. Subeconomic. Maximum concentrations in core samples: 264 ppm Cu, 501 ppm Mo; higher grades in selected outcrop samples. No K alteration; well-developed phyllic alteration; no typical porphyry copper zonation; low-grade, low salinity fluid inclusion (that is, atypical of porphyry).","chalcopyrite, molybdenite, pyrite, scheelite","adamellite, microadamellite",Prospect,"Colman and others (1996); Haslam and Kimball (1981)","continental margin",Europe,"Sutphin and others (2013)","Late Cambrian–Ordovician–Silurian–Middle Devonian"
1163,3132,150pCu6007,"Western European Caledonian",Tomnadashan,,,,prospect,"United Kingdom of Great Britain and Northern Ireland",Scotland,56.5139,-4.1275,"Porphyry copper",NA,-9999,"Geologic inference","~490–390 Ma (Caledonian orogeny)","geologic inference",Cu,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Copper minerals associated with granite lenses intruded into a Caledonian diorite; mined in the 1800s for gold and copper. Site of """"killer rabbit"""" scene in Monty Python movie.",malachite,,Prospect,"Colman and others (1996); Pattrick (1984)","continental margin",Europe,"Sutphin and others (2013)","Late Cambrian–Ordovician–Silurian–Middle Devonian"
1164,3133,150pCu6007,"Western European Caledonian","Black Stockarton Moor",,,,prospect,"United Kingdom of Great Britain and Northern Ireland",Scotland,54.8735,-3.9761,"Porphyry copper",NA,-9999,"Geologic inference","~490–390 Ma (Caledonian orogeny)","geologic inference","Cu, Mo, Au, Ag",,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Anomalous copper (<140 to 5,500 ppm) in a soil survey associated with the Caledonian Black Stockarton Moor composite subvolcanic complex led to mineralogical and chemical evaluation in the 1970s. IP (6 km long anomaly), 3 deep angled drillholes, 9 shallow holes confirmed disseminated and veinlet porphyry-type mineralization. Propylitic alteration. Maximum grade of 400 to 1100 ppm Cu. Zoned: outer propylitic Mn, Zn, As, Pb; sericitic Ba, Cu; Au, As, Sb with Cu and Mo in isolated breccias.","bornite, chalcopyrite, chalcocite","porphyry, granodiorite",Prospect,"Brown and others (1979); Colman and others (1996)","continental margin",Europe,"Sutphin and others (2013)","Late Cambrian–Ordovician–Silurian–Middle Devonian"
1165,3116,150pCu6001,"Transylvania-Balkan Mountains",Uzunkum,,,,prospect,Turkey,Kirklareli,41.695498832,28.069632721,"Porphyry copper-molybdenum-tungsten skarn",NA,-9999,"Geologic inference","Late Cretaceous","geologic inference",Cu,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Cu-Mo-W porphyry copper-skarn prospect. 0.015% Cu and 0.0003% Mo.",,,Prospect,"Turkey General Directorate of Mineral Research and Exploration (2000)","continental margin",Europe,"Sutphin and others (2013)","Late Cretaceous"
1166,3192,150pCu6001,"Transylvania-Balkan Mountains","Kiyikoy Uzunkum Kecikaya Police",,,,prospect,Turkey,Kirklareli,41.691408631,28.074340312,"Porphyry copper",NA,-9999,"Geologic inference","Late Cretaceous","geologic inference","Cu, Mo",,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Porphyry copper prospect associated with the hydrothermally-altered, Late Cretaceous Silistar Intrusive Complex in the eastern Srednogorie Zone. 0.015% Cu, 0.0003% Mo.",,,Prospect,"Nakov and others (2002)","continental margin",Europe,"Sutphin and others (2013)","Late Cretaceous"
1167,3100,150pCu6004,"Northern Carpathians","Banska Štiavnica","Banksa Štiavnica, Na Sobove","Štiavnica Group","Group includes Banska tiavnica, Sementlov, and Vysoká-Zlatno deposits.",deposit,Slovakia,"Banskobystricky kraj",48.470635,18.898652,"Porphyry copper",Cu-Au,-9999,"Geologic inference",Miocene(?),"geologic inference","Cu, Au","Ag, Bi, Te",,80,0.5,-9999,0.5,25,400000,-9999,"Abandoned, past production: 80 Mt at 25 g/t Ag; 80 Mt at 0.5 g/t Au; 2.7 Mt at 0.3% Cu; 3.7 Mt at 1.5% Pb; and 3.5 Mt at 2% Zn. The largest andesitic volcano in the Central Slovakian Neogene Volcanic Field, Banská tiavnica, has been a focus of mining of precious and base metals for a long time (Jelen and others, 2003). In the greater Banská tiavnica intrusive complex, several types of mineral deposits have been recognized, including the Banská tiavnica porphyry Cu-Mo-Au deposit and related occurrences. The porphyry deposit occurs in granodiorite-quartz-diorite porphyry dike clusters and in the rocks surrounding the granodiorite pluton (Jelen and others, 2003). West Carpathians.","barite, chalcopyrite, electrum, epidote, galena, rhodonite, scheelite, sphalerite, tourmaline","granodiorite-, quartz diorite- quartz porphyry dikes","Past Producer","Jele? and others (2003); Lips and others (2006)",postconvergence,Europe,"Sutphin and others (2013)",Miocene(?)
1168,3110,150pCu6001,"Transylvania-Balkan Mountains","Borska Reka",,"Bor Group","Group includes Bor, Borska Reka, and Veliki Krivelj deposits.",deposit,Serbia,Bor,44.071907,22.130298,"Porphyry copper",Cu-Au,-9999,"Geologic inference","Late Cretaceous","geologic inference",Cu,"Au, Ag, Mo","Bi, Te",591,0.62,0.0036,0.24,1.92,3700000,67,"Reserves: 320 Mt at 0.5% Cu, 35.8 g/t Mo, 0.2 g/t Au, 1.62 g/t Ag; resources 235 Mt at same grades as reserves. Bor (Timoc) district.","chalopyrite, pyrite, magnetite, telluride, molybdenite, chalcocite, covellite, bornite",,"Past Producer","Lips and others (2006); Serbia Ministry of Mining and Energy (2010)","continental margin",Europe,"Sutphin and others (2013)","Late Cretaceous"
1169,3115,150pCu6003,"Apuseni Mountains",Ciresata,"Rovina Valley Project","Rovina Valley Group","Group includes Colnic, Rovina, Valea Morii deposits and Ciresata and Valea Arsului prospects.",prospect,Romania,Hunedoara,46.095364,22.899928,"Porphyry copper",NA,11.41,"Inferred from Ar-Ar age for Valea Morii","11.41–11.3 Ma","Singer and others (2008)","Cu, Au","Ag, Bi, Mo, Te",,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Part of Carpathian Gold Inc.'s Rovina Valley Project. Ciresata is a blind porphyry Cu-Au target that starts 40 to 140 m below the surface. 2008 drilling (35,000 m) results include 314 m of 1.08 g/t Au and 0.20% Cu; 668m at 0.86 g/t Au and 0.17% Cu. Open to the SW, W, and NE. Location: based on GoogleEarth image on Carpathian website. Golden Quadrilateral district.",,,Prospect,"Carpathian Gold Inc. (2010); Marketwire (2010); Marketwire (2008); Carpathian Gold Inc. (2011a); Carpathian Gold Inc. (2011b); Marcoux and others (2002); Singer and others (2008)",postconvergence,Europe,"Sutphin and others (2013)",Miocene
1170,3106,150pCu6001,"Transylvania-Balkan Mountains","Dumitru Potok",,"Dumitru Potok Group","Group includes Dumitru Potok and Valja Strz deposits.",deposit,Serbia,Bor,44.232261,21.932246,"Porphyry copper",NA,-9999,"Geologic inference","Late Cretaceous","geologic inference",Cu,"Mo, Se, Au, Ag",,290,0.21,-9999,0.1,-9999,610000,-9999,"A dormant deposit in the Bor district. Adjacent to the Late Cretaceous to Early Tertiary Crni Vrh plutonic complex which was emplaced along a regional fracture zone on the western margin of the Timoc Magmatic Complex into Late Cretaceous andesites and clay-rich sediments. Alteration at the margins and in the central parts of the plutonic complex in a zone > 8 km long. Alteration includes propylitic, dominated by chlorite and epidote with silicification and pyritization. Valja Strz and Dumitru Potok deposits are relatively large but of sub-marginal grades; epithermal mineralization developed at the margins of these bodies (Porter GeoConsultancy, 2011). Porter GeoConsultancy (2011) reports that the plutons are generally potassic, and strontium 87Sr/86Sr ratios indicate a continental crust contaminated mantle source. Bor (Timoc) district.","antimonite, arsenopyrite, boulangerite, chalcopyrite, pyrite, magnetite, marcasite, molybdenite, galena, sphalerite","andesite, quartz diorite, pyroclastic rocks, monzodiorite","Past Producer","Jovanovic (1974); Lips (2006); Porter GeoConsultancy (2011); Mazzoni and others (2010); Serbia Ministry of Mining and Energy (2010); Dundee Precious Metals Inc. (2008)","continental margin",Europe,"Sutphin and others (2013)","Late Cretaceous"
1171,3107,150pCu6002,"Dinaride-Aegean Region",Fisoka,,"Fisoka Group","Group includes Fisoka, Alatina, Dilofon, Dilofon East, and Fisoka South prospects.",prospect,Greece,"Kentriki Makedonia",40.48855,23.7722,"Porphyry copper",NA,-9999,"not dated",,,"Cu, Au",,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Several bodies within 1,000 by 600 m, strong alteration, fissures with iron oxides and weakly developed gossan, max 3,400 ppm Cu in hard-rock samples; max 3,200 ppm Cu in soil samples. Chaldice, Eastern Chalkidiki Peninsula.Tonnage (20 Mt) and grade (0.47% Cu, 0.16 g/t Au) reported as reserves for Fisoka by Lips and others (2006). However, only supergene zone has been drilled; deposit is open.","actinolite, albite, anhydrite, arsenopyrite, azurite/malachite, biotite, bornite, carbonate, chalcocite/digenite, chalcopyrite, chlorite, covellite, electrum, epidote, fluorite, galena, goethite, gold, hematite/specularite, kaolinite, magnetite,montmorillonite, muscovite/sericite, pyrite, sphalerite, tetrahedrite","diorite porphyry, monzonite porphyry, quartz diorite porphyry, syenite porphyry, trachyte dike,granite, granodiorite, marble, amphibolite, diorite porphyry, gneiss, schist",Prospect,"Kockel and others (1975); Lips (2006)",postconvergence,Europe,"Sutphin and others (2013)",
1172,3119,150pCu6001,"Transylvania-Balkan Mountains","Orlovo Gnezdo",,"Assarel Group","Group includes Assarel and Orlovo Gnezdo deposits.",deposit,Bulgaria,Pazardzhik,42.539,24.128,"Porphyry copper",NA,-9999,"Geologic inference","Late Cretaceous","geologic inference","Cu, Au",,,36,0.32,-9999,0.14,-9999,120000,-9999,"Subeconomic, 36 Mt resources at 0.14 g/t Au and 0.32 percent Cu. Srednegorie zone, Panagyurishte district.","chalcopyrite, galena, hematite magnetite, molybdenite pyrite, sphalerite, malachite, chalococite, covellite, goethite (limonite)",,Prospect,"Lips and others (2006); Nakov and others (2002)","continental margin",Europe,"Sutphin and others (2013)","Late Cretaceous"
1173,3112,150pCu6001,"Transylvania-Balkan Mountains","Popovo Dere",,"Vlaykov Vruh Group","Group includes Popovo Dere and Vlaykov Vruh deposits.",deposit,Bulgaria,Pazardzhik,42.371431,24.154347,"Porphyry copper",NA,-9999,"not dated",,,Cu,"Mo, Au, Ag",Se,75,0.2,-9999,-9999,-9999,150000,-9999,"75 Mt known resources. A subeconomic, unworked deposit. Panagyurishte district.",,,Prospect,"Lips (2006)","continental margin",Europe,"Sutphin and others (2013)",
1174,3121,150pCu6004,"Northern Carpathians",Sementlov,,"Štiavnica Group","Group includes Banska tiavnica, Sementlov, and Vysoká-Zlatno deposits.",deposit,Slovakia,"Banskobystricky kraj",48.425,18.899,"Porphyry copper",Cu-Au,-9999,"Geologic inference",Miocene(?),"geologic inference",Cu,,,64,0.16,0.00263,0.12,-9999,100000,45,"Location is approximate. Resource estimates date from 1980s Soviet era and are meaningless economically. Banskobystricky kraj.",,,Occurrence,"Cunneen (2009)",postconvergence,Europe,"Sutphin and others (2013)",Miocene(?)
1175,3122,150pCu6001,"Transylvania-Balkan Mountains","Valja Strz",,"Dumitru Potok Group","Group includes Dumitru Potok and Valja Strz deposits.",deposit,Serbia,Branicevo,44.203274,21.936944,"Porphyry copper",Cu-Au,-9999,"not dated",,,"Cu, Au",,,47.3,0.32,0.006,0.27,0.95,150000,40,"Valja Strz has wide zones of near surface mineralization which have been tracked for more than 450 m vertical depth. Valja Strz is one of five separate Au-Cu or Au-only porphyry centers in the 8 by 6 sq. km Coka Kuruga Concession for Exploration and Exploitation being explored for Au-Cu or Au porphyry mineralizarion. Bor (Timoc) district.",,,Prospect,"Karamata and others (1997); Dundee Precious Metals Inc. (2008); Serbia Ministry of Mining and Energy (2010)","continental margin",Europe,"Sutphin and others (2013)",
1176,3138,150pCu6002,"Dinaride-Aegean Region",Akritas,"Aj. Ilias","Korifi Group","Group includes Akritas, Doirani, Drosaton, Gavra, Korifi, Monolithi I, Monolithi II, and Monolithi III prospects.",prospect,Greece,"Kentriki Makedonia",41.158333,22.75,"Porphyry copper",NA,-9999,"Geologic inference",Paleogene(?),"Kockel and others (1975)",Cu,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"800 by 350 m, weak alteration with no halo in country rock, 34 hard-rock samples had a max value of 550 ppm Cu; 21 soil samples had a max of 230 ppm Cu. Krousia Mountains.",,,Occurrence,"Kockel and others (1975)",postconvergence,Europe,"Sutphin and others (2013)",Paleogene(?)
1177,3117,150pCu6002,"Dinaride-Aegean Region",Alatina,,"Fisoka Group","Group includes Fisoka, Alatina, Dilofon, Dilofon East, and Fisoka South prospects.",prospect,Greece,"Kentriki Makedonia",40.477778,23.770833,"Porphyry copper",NA,-9999,"not dated",,,Cu,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"One body 250 by 200 m, strong alteration, fissures with iron oxides, 33 hard-rock samples had a max of 340 ppm Cu; max of 360 ppm Cu in 32 soil samples. Eastern Chalkidiki Peninsula.",,,Occurrence,"Kockel and others (1975)",postconvergence,Europe,"Sutphin and others (2013)",
1178,3120,150pCu6001,"Transylvania-Balkan Mountains",Bratoushkovo,,"Radulovtsi Group","Group includes Bratoushkovo, Dragotintsi, Gourgoulyatski kamuk, and Radulovtsi prospects.",prospect,Bulgaria,Sofija,42.841695,22.964874,"Porphyry copper",NA,-9999,"Geologic inference","Late Cretaceous","geologic inference",Cu,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Porphyry copper prospect associated with the hydrothermally-altered, Late Cretaceous Silistar Intrusive Complex in the eastern Srednogorie Zone.",,,Prospect,"Nakov and others (2002)","continental margin",Europe,"Sutphin and others (2013)","Late Cretaceous"
1179,3125,150pCu6002,"Dinaride-Aegean Region",Damjan,,"Bucim Group","Bu?im, Damjan",prospect,"The former Yugoslav Republic of  Macedonia",Radovis,41.6265,22.3445,"Porphyry copper",NA,-9999,"not dated",,,Cu,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"It is probable that the bulk of the copper mineralization in the Damjan ore field has been deeply eroded and lost. No economic copper mineralization was found in magnetite-hematite skarn of the Damjan ore field. Buchim-Damjan-Borov Dol ore district, Southeastern Macedonia.",,,Occurrence,"Volkov and others (2010); Serafimovski and others (2010)",postconvergence,Europe,"Sutphin and others (2013)",
1180,3126,150pCu6002,"Dinaride-Aegean Region","Didimi Lofi",,"Pontokerassia Group","Group includes Didimi Lofi, Koukouta Lofos, and Pontokerassia prospects.",prospect,Greece,"Kentriki Makedonia",41.075,23.141667,"Porphyry copper",NA,-9999,"not dated",,,Cu,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"1,000 by 500 m body with weak alteration and no alteration halo, 14 hard-rock samples had a max of 30 ppm Cu; 49 soil samples had a max of 60 ppm Cu. Krousia Mountains.",,,Occurrence,"Kockel and others (1975)",postconvergence,Europe,"Sutphin and others (2013)",
1181,3127,150pCu6002,"Dinaride-Aegean Region",Dilofon,,"Fisoka Group","Group includes Fisoka, Alatina, Dilofon, Dilofon East, and Fisoka South prospects.",prospect,Greece,"Kentriki Makedonia",40.502778,23.779167,"Porphyry copper",NA,-9999,"not dated",,,Cu,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Two bodies within 1000 by 400 m, strong alteration, fissures with iron oxides, max 2200 ppm Cu in 104 rock samples; max 300 ppm Cu in 69 soil samples. Eastern Chalkidiki Peninsula.",,,Occurrence,"Kockel and others (1975)",postconvergence,Europe,"Sutphin and others (2013)",
1182,3128,150pCu6002,"Dinaride-Aegean Region","Dilofon East",,"Fisoka Group","Group includes Fisoka, Alatina, Dilofon, Dilofon East, and Fisoka South prospects.",prospect,Greece,"Kentriki Makedonia",40.504167,23.790278,"Porphyry copper",NA,-9999,"not dated",,,Cu,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Several dikes within 750 by 500 m, strong alteration, fissures with iron oxides, max 1,000 ppm Cu in 64 hard-rock samples; max 2,500 ppm in 66 soil samples. Eastern Chalkidiki Peninsula.",,,Occurrence,"Kockel and others (1975)",postconvergence,Europe,"Sutphin and others (2013)",
1183,3129,150pCu6002,"Dinaride-Aegean Region",Divounon,,"Jerakario Group","Jerakario, Divounon, Vathi",prospect,Greece,"Kentriki Makedonia",41.138889,22.945833,"Porphyry copper",NA,18,"U-Pb zircon","18 ±2 Ma","Reeves and others (1986)",Cu,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"30 by 20 m with medium alteration, with a 250 m medium alteration halo in the country rock, 25 hard-rock samples had a max of 500 ppm Cu; 27 soil samples had a max of 80 ppm Cu. Age for associated Vathi quartz monzonite. Krousia Mountains.",,,Occurrence,"Kockel and others (1975); Reeves and others (1986)",postconvergence,Europe,"Sutphin and others (2013)",Miocene
1184,3139,150pCu6002,"Dinaride-Aegean Region",Doirani,,"Korifi Group","Group includes Akritas, Doirani, Drosaton, Gavra, Korifi, Monolithi I, Monolithi II, and Monolithi III prospects.",prospect,Greece,"Kentriki Makedonia",41.166667,22.761111,"Porphyry copper",NA,-9999,"Geologic inference",Paleogene(?),"Kockel and others (1975)",Cu,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Developed in hydrothermally altered andesite and pyroclastic rock. Krousia Mountains.",,,Occurrence,"Kockel and others (1975)",postconvergence,Europe,"Sutphin and others (2013)",Paleogene(?)
1185,3152,150pCu6001,"Transylvania-Balkan Mountains",Dragotintsi,,"Radulovtsi Group","Group includes Bratoushkovo, Dragotintsi, Gourgoulyatski kamuk, and Radulovtsi prospects.",prospect,Bulgaria,Sofija,42.892,22.874,"Porphyry copper",NA,-9999,"Geologic inference","Late Cretaceous","geologic inference",Cu,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"Porphyry copper prospect associated with the hydrothermally-altered, Late Cretaceous Silistar Intrusive Complex in the eastern Srednogorie Zone.",,,Prospect,"Nakov and others (2002)","continental margin",Europe,"Sutphin and others (2013)","Late Cretaceous"
1186,3153,150pCu6003,"Apuseni Mountains",Draica,,"Voia Group","Group includes Draica and Voia prospects.",prospect,Romania,Hunedoara,46.044,22.954,"Porphyry copper",NA,-9999,"Geologic inference",Neogene,"geologic inference",Cu,,,-9999,-9999,-9999,-9999,-9999,-9999,-9999,"The Draica prospect lies some 3 km along strike to the northwest of the Stogu prospect and reportedly has similar epithermal-style veining, contained within the same extensive zone of argillic alteration. Metalliferi Mountains.",,,Prospect,"European Goldfields Ltd. (2004)",postconvergence,Europe,"Sutphin and others (2013)",Neogene
